PF, 26, BOS, 6, 0, 20, 4, 7, .571, 1, 1, 1.000, 3, 6, .500, .643, 0, 0, , 4, 2, 6, 2, 1, 1, 3, 4, 9, 
PF, 22, DET, 20, 20, 626, 83, 185, .449, 30, 81, .370, 53, 104, .510, .530, 27, 34, .794, 39, 104, 143, 28, 7, 14, 35, 48, 223, 
SF, 21, DEN, 18, 0, 227, 34, 89, .382, 19, 59, .322, 15, 30, .500, .489, 7, 10, .700, 1, 21, 22, 18, 5, 5, 3, 28, 94, 
SF, 27, CLE, 20, 20, 705, 105, 239, .439, 58, 153, .379, 47, 86, .547, .561, 19, 23, .826, 14, 96, 110, 80, 20, 13, 32, 54, 287, 
SG, 22, ORL, 19, 19, 511, 84, 185, .454, 31, 84, .369, 53, 101, .525, .538, 44, 54, .815, 13, 56, 69, 52, 36, 11, 40, 57, 243, 
SF, 24, MIA, 3, 0, 29, 6, 14, .429, 4, 11, .364, 2, 3, .667, .571, 0, 0, , 0, 1, 1, 3, 1, 1, 1, 1, 16, 
SF, 28, HOU, 16, 0, 296, 37, 73, .507, 11, 31, .355, 26, 42, .619, .582, 8, 10, .800, 16, 44, 60, 20, 17, 5, 5, 44, 93, 
PF, 25, BOS, 19, 19, 694, 181, 363, .499, 59, 163, .362, 122, 200, .610, .580, 99, 123, .805, 13, 152, 165, 77, 21, 7, 65, 42, 520, 
PF, 24, CHI, 5, 0, 12, 1, 1, 1.000, 0, 0, , 1, 1, 1.000, 1.000, 0, 0, , 0, 1, 1, 0, 1, 0, 0, 0, 2, 
SG, 37, TOR, 5, 0, 16, 4, 5, .800, 1, 1, 1.000, 3, 4, .750, .900, 2, 2, 1.000, 0, 2, 2, 2, 1, 0, 0, 0, 11, 
SG, 21, CHI, 6, 0, 23, 3, 9, .333, 1, 4, .250, 2, 5, .400, .389, 0, 2, .000, 2, 8, 10, 4, 0, 1, 1, 2, 7, 
C, 31, TOT, 10, 0, 163, 31, 66, .470, 3, 9, .333, 28, 57, .491, .492, 5, 10, .500, 17, 21, 38, 12, 3, 8, 6, 26, 70, 
C, 31, IND, 1, 0, 8, 1, 4, .250, 0, 1, .000, 1, 3, .333, .250, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 1, 2, 
C, 31, LAC, 9, 0, 155, 30, 62, .484, 3, 8, .375, 27, 54, .500, .508, 5, 10, .500, 17, 21, 38, 12, 3, 8, 6, 25, 68, 
